Type,Wave,Epic_ID,Epic_Name,Feature_ID,Feature_Name,Story_ID,Title,User_Story,Acceptance_Criteria,Status,Priority,Persona,Notes
User Story,Wave 1,E1,Data model and security foundation,F1.1,Core custom objects,US-1.1.1,Dedicated onboarding application object,"As a platform admin, I want onboarding applications stored in a dedicated object, so that journey state is separate from Cases and Leads.","Application has status, product, channel, correlation ID, risk fields; links to Account",Built,High,Platform admin,CB_Onboarding_Application__c
User Story,Wave 1,E1,Data model and security foundation,F1.1,Core custom objects,US-1.1.2,Integration logs linked to applications,"As a compliance officer, I want integration logs linked to applications, so that I can reconstruct decision trails.","Log records capture direction, HTTP status, correlation ID, payload",Built,High,Compliance officer,CB_Integration_Log__c
User Story,Wave 1,E1,Data model and security foundation,F1.1,Core custom objects,US-1.1.3,Fin account on core account open,"As an operations user, I want fin accounts created when core opens an account, so that agents see sort code and account number in CRM.",CB_Fin_Account__c created on CB_Account_Opened__e,Built,High,Operations user,CB_Fin_Account__c
User Story,Wave 1,E1,Data model and security foundation,F1.2,Account extensions,US-1.2.1,Customer KYC and IDV status on Account,"As a KYC analyst, I want customer KYC/IDV status on Account, so that I see holistic customer state.","CB_KYC_Status__c, CB_IDV_Status__c, CB_Customer_Status__c, CB_Risk_Rating__c populated by handlers",Built,High,KYC analyst,Account custom fields
User Story,Wave 1,E1,Data model and security foundation,F1.3,Platform events,US-1.3.1,MuleSoft publishes completion events,"As MuleSoft, I want to publish completion events to Salesforce, so that application state updates asynchronously.",REST ingress POST /cb/v1/events/{eventType} with shared secret; triggers update handlers,Built,Critical,Integration service,CB_EventIngressRest
User Story,Wave 1,E1,Data model and security foundation,F1.3,Platform events,US-1.3.2,Publish onboarding submitted event,"As Salesforce, I want to publish CB_Onboarding_Submitted__e on application submit, so that orchestration starts without blocking the UI.",Event published; queueable or MuleSoft orchestration enqueued,Built,Critical,Integration service,CB_Onboarding_Submitted__e
User Story,Wave 1,E1,Data model and security foundation,F1.4,Security model,US-1.4.1,Role-based FLS on compliance fields,"As a security admin, I want role-based FLS on compliance fields, so that only authorised roles edit risk decisions.",FLS on application screening and integration log fields per permission set,Built,High,Security admin,Permission sets
User Story,Wave 1,E1,Data model and security foundation,F1.4,Security model,US-1.4.2,Field-level encryption for PII,"As a security admin, I want field-level encryption on NI number DOB and document references in production.",Shield encryption policies applied per data classification,Not Started,Critical,Security admin,Wave 2 production
User Story,Wave 1,E2,Retail current account onboarding,F2.1,Retail application capture,US-2.1.1,Capture retail personal details,"As a retail applicant, I want to enter personal details (name email phone DOB address nationality), so that CB can perform IDV and pre-score.",Screen flow captures fields; Person Account created,Built,High,Retail applicant,CB_Retail_Onboarding flow
User Story,Wave 1,E2,Retail current account onboarding,F2.1,Retail application capture,US-2.1.2,Post-submit outcome messaging,"As a retail applicant, I want to see what happens after I submit, so that I understand wait times and outcomes.","Result screen shows prescore summary, expected outcome, application ID",Built,Medium,Retail applicant,
User Story,Wave 1,E2,Retail current account onboarding,F2.1,Retail application capture,US-2.1.3,Mobile Experience Cloud retail onboarding,"As a retail applicant on Experience Cloud, I want to complete onboarding on mobile without an agent.",Responsive Experience Cloud site with OTP login,Not Started,High,Retail applicant,Wave 2
User Story,Wave 1,E2,Retail current account onboarding,F2.1,Retail application capture,US-2.1.4,POA upload on weak bureau match,"As a retail applicant, I want to upload POA when bureau match is weak.",Document upload component; CB_Compliance_Document__c POA type; analyst notification,Partial,High,Retail applicant,POA record created; upload UI not started
